lambda,P_MPa
1.019900497512438,0.06023530416586631
1.1094527363184081,0.15933209489035516
1.1791044776119404,0.24117609378002713
1.2985074626865674,0.3232336173211201
1.4527363184079605,0.4268998355860183
1.8358208955223883,0.5959259496508871
2.3781094527363185,0.7699271880938654
2.970149253731343,0.9527256421753889
3.4726368159203984,1.1265560608972303
3.9552238805970146,1.2960092242649408
4.378109452736318,1.473789849038071
4.701492537313433,1.6425597335212345
4.980099502487563,1.8197211368052433
