lambda,P_MPa
1.0497512437810947,0.15907586530865014
1.1044776119402986,0.24085580680289542
1.1293532338308458,0.2581299511028554
1.1890547263681595,0.33134755407511784
1.2985074626865674,0.43911344564730026
1.4129353233830848,0.5168577712296889
1.6716417910447763,0.6595990007046311
1.9353233830845773,0.7680268186962182
2.4875621890547266,0.9678218350308541
3.029850746268657,1.2448273653193258
3.4328358208955225,1.448273653193261
3.7512437810945274,1.720026477056776
4.074626865671641,1.9960924988789952
4.2636815920398,2.215788012726069
4.45771144278607,2.4569641065060956
